nct_id,title,status,start_date,completion_date,phase,enrollment,study_type,sponsor,sponsor_class,fda_regulated
NCT03260400,Short-term Implanted Electrodes Following Regenerative Peripheral Nerve Surgery for Improving Prosthetic Limb Control Signals,RECRUITING,2017-12-11,2029-05-05,NA,10,INTERVENTIONAL,University of Michigan,OTHER,True
NCT04048863,"Effect of B. Braun Peripheral Advantage Program on Complications, Indwell Time and First Stick Success of PIVC Therapy",TERMINATED,2020-01-24,2021-07-27,NA,44,INTERVENTIONAL,B. Braun Medical Inc.,INDUSTRY,True
NCT01823107,Feasibility Study of Meso BioMatrix Device for Breast Reconstruction,COMPLETED,2012-10,2017-06-29,NA,25,INTERVENTIONAL,Kensey Nash Corporation,INDUSTRY,True
NCT04906811,Prospective Comparison of Revolve™ and AuraGen 123 With AuraClens™ in Autologous Fat Grafting to the Breast,TERMINATED,2021-05-20,2024-02-12,NA,17,INTERVENTIONAL,AuraGen Aesthetics LLC,INDUSTRY,True
NCT04675398,Adaptive Deep Brain Stimulation to Improve Motor and Gait Functions in Parkinson's Disease,ACTIVE_NOT_RECRUITING,2021-06-15,2030-04-01,NA,10,INTERVENTIONAL,"Doris Wang, MD, PhD",OTHER,True
NCT03396809,Punctal Plugs and Iodine Related Discomfort,WITHDRAWN,2017-07-26,2018-12-07,NA,0,INTERVENTIONAL,University of New Mexico,OTHER,True
NCT06521814,Globus Reflect Tether - HUD,WITHDRAWN,2025-11-01,2025-11-01,NA,0,INTERVENTIONAL,Medical University of South Carolina,OTHER,True
NCT02842736,A CLinical Study to Evaluate the Safety And Effectiveness of the CeRene DevIce to Treat HeavY Menstrual Bleeding,COMPLETED,2016-04,2020-05,NA,242,INTERVENTIONAL,Channel Medsystems,INDUSTRY,True
NCT04823221,"To Evaluate the Feasibility, Preliminary Safety and Performance of Rezūm System in BPH Treatment in China",COMPLETED,2021-07-10,2021-08-01,,22,OBSERVATIONAL,Boston Scientific Corporation,INDUSTRY,True
NCT05433064,Spinal Cord Stimulation for Spinal Cord Injury Patients - Regain Walk and Alleviate Pain,RECRUITING,2020-05-01,2025-09-30,NA,12,INTERVENTIONAL,Buddhist Tzu Chi General Hospital,OTHER,True
NCT03185832,Heart Failure and Sudden Cardiac Death Japan Registry,COMPLETED,2017-07-21,2020-12-01,,354,OBSERVATIONAL,Boston Scientific Corporation,INDUSTRY,True
NCT04873882,Waveform and Spectral Characteristics of Perioperative Wheezing,UNKNOWN,2019-12-16,2021-08-27,,40,OBSERVATIONAL,University of Virginia,OTHER,True
NCT03567213,Investigation on the Cortical Communication (CortiCom) System,RECRUITING,2021-12-14,2026-08-31,NA,3,INTERVENTIONAL,Johns Hopkins University,OTHER,True
NCT06038513,Transnasal Induction of Normothermia for Neurogenic Fever,TERMINATED,2023-11-21,2025-11-30,NA,9,INTERVENTIONAL,CoolTech LLC,INDUSTRY,True
NCT01559220,Deep Brain Stimulation for the Treatment of Alzheimer's Disease,COMPLETED,2012-03,2016-01,NA,3,INTERVENTIONAL,"Ali Rezai, MD",OTHER,True
